
Добавление 8631 заняло 789542 нс, 1 операций
Добавление 4326 заняло 1084 нс, 1 операций
Добавление 6091 заняло 667 нс, 23 операций
Добавление 7676 заняло 833 нс, 1 операций
Добавление 6089 заняло 125 нс, 1 операций
Добавление 3406 заняло 542 нс, 5 операций
Добавление 891 заняло 1125 нс, 24 операций
Добавление 5152 заняло 541 нс, 5 операций
Добавление 1277 заняло 500 нс, 1 операций
Добавление 5530 заняло 500 нс, 1 операций
Добавление 9355 заняло 333 нс, 1 операций
Добавление 6961 заняло 750 нс, 18 операций
Добавление 510 заняло 1083 нс, 1 операций
Добавление 4412 заняло 750 нс, 1 операций
Добавление 720 заняло 833 нс, 1 операций
Добавление 5067 заняло 792 нс, 37 операций
Добавление 59 заняло 1000 нс, 1 операций
Добавление 8075 заняло 541 нс, 1 операций
Добавление 8826 заняло 834 нс, 1 операций
Добавление 7665 заняло 250 нс, 5 операций
Добавление 8288 заняло 708 нс, 18 операций
Добавление 4030 заняло 1167 нс, 19 операций
Добавление 8028 заняло 709 нс, 1 операций
Добавление 94 заняло 1416 нс, 1 операций
Добавление 5677 заняло 833 нс, 1 операций
Добавление 2468 заняло 459 нс, 1 операций
Добавление 2044 заняло 1333 нс, 14 операций
Добавление 7974 заняло 667 нс, 5 операций
Добавление 4675 заняло 875 нс, 14 операций
Добавление 2737 заняло 417 нс, 1 операций
Добавление 6099 заняло 166 нс, 1 операций
Добавление 3691 заняло 792 нс, 10 операций
Добавление 394 заняло 1084 нс, 1 операций
Добавление 8083 заняло 625 нс, 1 операций
Добавление 5681 заняло 208 нс, 10 операций
Добавление 5483 заняло 458 нс, 1 операций
Добавление 7778 заняло 375 нс, 1 операций
Добавление 7635 заняло 250 нс, 1 операций
Добавление 5200 заняло 500 нс, 10 операций
Добавление 4806 заняло 584 нс, 1 операций
Добавление 1908 заняло 959 нс, 1 операций
Добавление 9814 заняло 750 нс, 6 операций
Добавление 2579 заняло 500 нс, 5 операций
Добавление 9613 заняло 792 нс, 1 операций
Добавление 1587 заняло 1125 нс, 14 операций
Добавление 9539 заняло 209 нс, 1 операций
Добавление 9596 заняло 1000 нс, 1 операций
Добавление 2582 заняло 166 нс, 1 операций
Добавление 1973 заняло 709 нс, 32 операций
Добавление 911 заняло 500 нс, 5 операций
Добавление 9415 заняло 834 нс, 1 операций
Добавление 8780 заняло 458 нс, 1 операций
Добавление 2056 заняло 583 нс, 59 операций
Добавление 1444 заняло 1458 нс, 1 операций
Добавление 5382 заняло 1083 нс, 14 операций
Добавление 6483 заняло 1334 нс, 1 операций
Добавление 4499 заняло 708 нс, 1 операций
Добавление 6496 заняло 666 нс, 14 операций
Добавление 6409 заняло 1291 нс, 18 операций
Добавление 9946 заняло 541 нс, 1 операций
Добавление 2666 заняло 125 нс, 1 операций
Добавление 5914 заняло 2208 нс, 1 операций
Добавление 8233 заняло 750 нс, 10 операций
Добавление 8857 заняло 542 нс, 5 операций
Добавление 797 заняло 959 нс, 1 операций
Добавление 8239 заняло 334 нс, 1 операций
Добавление 5202 заняло 208 нс, 1 операций
Добавление 794 заняло 250 нс, 1 операций
Добавление 9246 заняло 1208 нс, 1 операций
Добавление 2122 заняло 125 нс, 1 операций
Добавление 8347 заняло 1000 нс, 1 операций
Добавление 4420 заняло 417 нс, 19 операций
Добавление 4509 заняло 167 нс, 1 операций
Добавление 2323 заняло 1042 нс, 10 операций
Добавление 7187 заняло 875 нс, 50 операций
Добавление 4658 заняло 417 нс, 1 операций
Добавление 9490 заняло 666 нс, 1 операций
Добавление 2094 заняло 1250 нс, 1 операций
Добавление 2586 заняло 167 нс, 5 операций
Добавление 9570 заняло 666 нс, 6 операций
Добавление 9845 заняло 292 нс, 5 операций
Добавление 4644 заняло 1125 нс, 1 операций
Добавление 25 заняло 875 нс, 1 операций
Добавление 4265 заняло 875 нс, 10 операций
Добавление 6365 заняло 666 нс, 1 операций
Добавление 2943 заняло 875 нс, 5 операций
Добавление 6847 заняло 708 нс, 1 операций
Добавление 1459 заняло 708 нс, 1 операций
Добавление 8628 заняло 1459 нс, 10 операций
Добавление 9294 заняло 500 нс, 1 операций
Добавление 8329 заняло 166 нс, 1 операций
Добавление 6713 заняло 1458 нс, 18 операций
Добавление 6612 заняло 1291 нс, 10 операций
Добавление 8345 заняло 125 нс, 1 операций
Добавление 6860 заняло 250 нс, 5 операций
Добавление 8491 заняло 875 нс, 1 операций
Добавление 4192 заняло 708 нс, 1 операций
Добавление 6142 заняло 459 нс, 1 операций
Добавление 3362 заняло 167 нс, 1 операций
Добавление 1613 заняло 750 нс, 5 операций
Добавление 9393 заняло 750 нс, 1 операций
Добавление 7577 заняло 833 нс, 1 операций
Добавление 8047 заняло 500 нс, 1 операций
Добавление 2815 заняло 625 нс, 1 операций
Добавление 2476 заняло 708 нс, 1 операций
Добавление 9155 заняло 792 нс, 1 операций
Добавление 2367 заняло 292 нс, 1 операций
Добавление 803 заняло 208 нс, 1 операций
Добавление 1660 заняло 500 нс, 6 операций
Добавление 3425 заняло 1125 нс, 1 операций
Добавление 7999 заняло 792 нс, 1 операций
Добавление 9763 заняло 667 нс, 5 операций
Добавление 7233 заняло 875 нс, 10 операций
Добавление 2014 заняло 833 нс, 14 операций
Добавление 9204 заняло 667 нс, 10 операций
Добавление 6283 заняло 791 нс, 1 операций
Добавление 6004 заняло 959 нс, 5 операций
Добавление 7235 заняло 166 нс, 5 операций
Добавление 859 заняло 167 нс, 1 операций
Добавление 5890 заняло 833 нс, 1 операций
Добавление 7221 заняло 667 нс, 5 операций
Добавление 4210 заняло 1000 нс, 1 операций
Добавление 2862 заняло 542 нс, 1 операций
Добавление 9302 заняло 166 нс, 1 операций
Добавление 9236 заняло 458 нс, 1 операций
Добавление 5938 заняло 959 нс, 1 операций
Добавление 6992 заняло 667 нс, 1 операций
Добавление 9701 заняло 792 нс, 10 операций
Добавление 345 заняло 916 нс, 27 операций
Добавление 1876 заняло 375 нс, 1 операций
Добавление 342 заняло 666 нс, 5 операций
Добавление 4472 заняло 417 нс, 1 операций
Добавление 5344 заняло 917 нс, 1 операций
Добавление 836 заняло 125 нс, 1 операций
Добавление 8673 заняло 1542 нс, 23 операций
Добавление 698 заняло 1125 нс, 1 операций
Добавление 5508 заняло 250 нс, 1 операций
Добавление 2475 заняло 250 нс, 32 операций
Добавление 8012 заняло 750 нс, 1 операций
Добавление 5334 заняло 416 нс, 1 операций
Добавление 7447 заняло 1000 нс, 6 операций
Добавление 3137 заняло 750 нс, 1 операций
Добавление 7566 заняло 500 нс, 15 операций
Добавление 8414 заняло 250 нс, 1 операций
Добавление 8043 заняло 167 нс, 5 операций
Добавление 1264 заняло 375 нс, 11 операций
Добавление 3261 заняло 1417 нс, 1 операций
Добавление 2904 заняло 1250 нс, 1 операций
Добавление 3776 заняло 625 нс, 5 операций
Добавление 2868 заняло 334 нс, 42 операций
Добавление 896 заняло 209 нс, 5 операций
Добавление 5139 заняло 250 нс, 10 операций
Добавление 4107 заняло 1125 нс, 14 операций
Добавление 9535 заняло 750 нс, 1 операций
Добавление 5934 заняло 250 нс, 5 операций
Добавление 7607 заняло 708 нс, 1 операций
Добавление 559 заняло 1083 нс, 32 операций
Добавление 3545 заняло 917 нс, 19 операций
Добавление 6312 заняло 541 нс, 10 операций
Добавление 2843 заняло 333 нс, 1 операций
Добавление 8058 заняло 125 нс, 1 операций
Добавление 852 заняло 417 нс, 14 операций
Добавление 9248 заняло 166 нс, 1 операций
Добавление 1120 заняло 833 нс, 20 операций
Добавление 79 заняло 1000 нс, 6 операций
Добавление 7997 заняло 250 нс, 5 операций
Добавление 981 заняло 292 нс, 1 операций
Добавление 458 заняло 1250 нс, 14 операций
Добавление 2859 заняло 125 нс, 1 операций
Добавление 6606 заняло 250 нс, 1 операций
Добавление 5564 заняло 708 нс, 1 операций
Добавление 5518 заняло 667 нс, 5 операций
Добавление 5846 заняло 15791 нс, 5 операций
Добавление 9633 заняло 500 нс, 1 операций
Добавление 2188 заняло 1125 нс, 14 операций
Добавление 7271 заняло 625 нс, 1 операций
Добавление 7512 заняло 625 нс, 10 операций
Добавление 5759 заняло 2083 нс, 5 операций
Добавление 7014 заняло 708 нс, 55 операций
Добавление 2803 заняло 542 нс, 1 операций
Добавление 3686 заняло 292 нс, 1 операций
Добавление 6871 заняло 334 нс, 10 операций
Добавление 7936 заняло 1084 нс, 1 операций
Добавление 7434 заняло 583 нс, 10 операций
Добавление 9992 заняло 459 нс, 1 операций
Добавление 8874 заняло 1000 нс, 1 операций
Добавление 5756 заняло 209 нс, 27 операций
Добавление 8287 заняло 250 нс, 5 операций
Добавление 4424 заняло 542 нс, 14 операций
Добавление 4274 заняло 292 нс, 1 операций
Добавление 1289 заняло 125 нс, 1 операций
Добавление 2863 заняло 208 нс, 6 операций
Добавление 4696 заняло 1792 нс, 1 операций
Добавление 2035 заняло 125 нс, 1 операций
Добавление 2630 заняло 791 нс, 34 операций
Добавление 8455 заняло 875 нс, 5 операций
Добавление 5616 заняло 1083 нс, 1 операций
Добавление 2266 заняло 1750 нс, 33 операций
Добавление 5406 заняло 583 нс, 1 операций
Добавление 1266 заняло 167 нс, 1 операций
Добавление 9891 заняло 750 нс, 1 операций
Добавление 2722 заняло 83 нс, 1 операций
Добавление 8245 заняло 209 нс, 15 операций
Добавление 2927 заняло 709 нс, 1 операций
Добавление 2430 заняло 417 нс, 1 операций
Добавление 9061 заняло 917 нс, 1 операций
Добавление 8397 заняло 833 нс, 5 операций
Добавление 577 заняло 167 нс, 1 операций
Добавление 2012 заняло 125 нс, 1 операций
Добавление 5200 заняло 292 нс, 1 операций
Добавление 6741 заняло 1000 нс, 5 операций
Добавление 9408 заняло 792 нс, 23 операций
Добавление 457 заняло 209 нс, 1 операций
Добавление 1839 заняло 250 нс, 1 операций
Добавление 1743 заняло 1084 нс, 23 операций
Добавление 3997 заняло 1166 нс, 10 операций
Добавление 2417 заняло 1166 нс, 1 операций
Добавление 4919 заняло 1000 нс, 1 операций
Добавление 9132 заняло 584 нс, 1 операций
Добавление 274 заняло 1500 нс, 10 операций
Добавление 4051 заняло 792 нс, 24 операций
Добавление 818 заняло 292 нс, 1 операций
Добавление 2215 заняло 2333 нс, 23 операций
Добавление 5288 заняло 875 нс, 1 операций
Добавление 7079 заняло 833 нс, 19 операций
Добавление 3013 заняло 584 нс, 5 операций
Добавление 8187 заняло 208 нс, 1 операций
Добавление 9762 заняло 208 нс, 1 операций
Добавление 3449 заняло 417 нс, 1 операций
Добавление 7502 заняло 375 нс, 19 операций
Добавление 7793 заняло 333 нс, 1 операций
Добавление 8743 заняло 834 нс, 1 операций
Добавление 1538 заняло 500 нс, 1 операций
Добавление 5273 заняло 250 нс, 1 операций
Добавление 6122 заняло 292 нс, 1 операций
Добавление 1117 заняло 208 нс, 1 операций
Добавление 3634 заняло 667 нс, 23 операций
Добавление 1778 заняло 542 нс, 1 операций
Добавление 6549 заняло 667 нс, 10 операций
Добавление 8256 заняло 375 нс, 14 операций
Добавление 5612 заняло 333 нс, 1 операций
Добавление 6612 заняло 209 нс, 1 операций
Добавление 653 заняло 542 нс, 1 операций
Добавление 9267 заняло 584 нс, 14 операций
Добавление 8285 заняло 167 нс, 1 операций
Добавление 4112 заняло 166 нс, 1 операций
Добавление 5746 заняло 667 нс, 15 операций
Добавление 3693 заняло 125 нс, 1 операций
Добавление 1754 заняло 167 нс, 1 операций
Добавление 3866 заняло 750 нс, 31 операций
Добавление 819 заняло 125 нс, 1 операций
Добавление 9012 заняло 459 нс, 1 операций
Добавление 9509 заняло 625 нс, 19 операций
Добавление 6973 заняло 292 нс, 1 операций
Добавление 7237 заняло 208 нс, 1 операций
Добавление 6648 заняло 541 нс, 24 операций
Добавление 5707 заняло 500 нс, 1 операций
Добавление 3182 заняло 1000 нс, 5 операций
Добавление 1299 заняло 584 нс, 1 операций
Добавление 2709 заняло 708 нс, 6 операций
Добавление 4302 заняло 292 нс, 1 операций
Добавление 3773 заняло 250 нс, 14 операций
Добавление 578 заняло 458 нс, 10 операций
Добавление 7356 заняло 916 нс, 1 операций
Добавление 6234 заняло 375 нс, 5 операций
Добавление 4440 заняло 291 нс, 44 операций
Добавление 2447 заняло 459 нс, 6 операций
Добавление 9052 заняло 375 нс, 1 операций
Добавление 8342 заняло 208 нс, 1 операций
Добавление 7083 заняло 250 нс, 10 операций
Добавление 3383 заняло 542 нс, 1 операций
Добавление 9050 заняло 167 нс, 23 операций
Добавление 7353 заняло 125 нс, 1 операций
Добавление 1410 заняло 792 нс, 68 операций
Добавление 6162 заняло 333 нс, 5 операций
Добавление 9727 заняло 334 нс, 1 операций
Добавление 4167 заняло 583 нс, 1 операций
Добавление 8511 заняло 6084 нс, 5 операций
Добавление 8973 заняло 2667 нс, 5 операций
Добавление 400 заняло 1291 нс, 1 операций
Добавление 1430 заняло 1083 нс, 1 операций
Добавление 5942 заняло 1250 нс, 1 операций
Добавление 2227 заняло 1333 нс, 1 операций
Добавление 57 заняло 1042 нс, 5 операций
Добавление 8113 заняло 2334 нс, 1 операций
Добавление 229 заняло 833 нс, 1 операций
Добавление 5320 заняло 2792 нс, 1 операций
Добавление 2131 заняло 1208 нс, 1 операций
Добавление 9416 заняло 834 нс, 1 операций
Добавление 9313 заняло 750 нс, 5 операций
Добавление 4178 заняло 1333 нс, 6 операций
Добавление 4181 заняло 417 нс, 1 операций
Добавление 1490 заняло 875 нс, 1 операций
Добавление 5788 заняло 833 нс, 1 операций
Добавление 5588 заняло 750 нс, 1 операций
Добавление 8198 заняло 2583 нс, 5 операций
Добавление 3232 заняло 2833 нс, 27 операций
Добавление 9251 заняло 1125 нс, 19 операций
Добавление 248 заняло 667 нс, 1 операций
Добавление 6816 заняло 1250 нс, 5 операций
Добавление 9663 заняло 458 нс, 1 операций
Добавление 3716 заняло 792 нс, 1 операций
Добавление 1720 заняло 792 нс, 1 операций
Добавление 2720 заняло 958 нс, 28 операций
Добавление 698 заняло 959 нс, 1 операций
Добавление 7628 заняло 1125 нс, 5 операций
Добавление 7256 заняло 4625 нс, 5 операций
Добавление 7194 заняло 1167 нс, 14 операций
Добавление 4106 заняло 834 нс, 5 операций
Добавление 6862 заняло 666 нс, 1 операций
Добавление 3348 заняло 1250 нс, 1 операций
Добавление 7594 заняло 1125 нс, 21 операций
Добавление 7595 заняло 292 нс, 1 операций
Добавление 224 заняло 625 нс, 1 операций
Добавление 482 заняло 1458 нс, 27 операций
Добавление 6005 заняло 1125 нс, 10 операций
Добавление 4732 заняло 1291 нс, 1 операций
Добавление 96 заняло 917 нс, 14 операций
Добавление 9012 заняло 958 нс, 1 операций
Добавление 1454 заняло 750 нс, 1 операций
Добавление 6194 заняло 1000 нс, 1 операций
Добавление 9924 заняло 1541 нс, 14 операций
Добавление 1708 заняло 1083 нс, 6 операций
Добавление 5524 заняло 1250 нс, 19 операций
Добавление 7129 заняло 917 нс, 1 операций
Добавление 5214 заняло 833 нс, 10 операций
Добавление 8524 заняло 1125 нс, 40 операций
Добавление 4905 заняло 1291 нс, 1 операций
Добавление 9449 заняло 1250 нс, 1 операций
Добавление 6846 заняло 916 нс, 1 операций
Добавление 1129 заняло 1417 нс, 6 операций
Добавление 1789 заняло 1000 нс, 14 операций
Добавление 353 заняло 791 нс, 1 операций
Добавление 5921 заняло 542 нс, 1 операций
Добавление 2763 заняло 1250 нс, 10 операций
Добавление 3160 заняло 1625 нс, 63 операций
Добавление 978 заняло 1125 нс, 1 операций
Добавление 3768 заняло 1083 нс, 5 операций
Добавление 5140 заняло 500 нс, 1 операций
Добавление 9415 заняло 375 нс, 1 операций
Добавление 1194 заняло 1750 нс, 18 операций
Добавление 2275 заняло 833 нс, 1 операций
Добавление 7226 заняло 625 нс, 10 операций
Добавление 5646 заняло 1083 нс, 10 операций
Добавление 8668 заняло 542 нс, 1 операций
Добавление 4620 заняло 792 нс, 5 операций
Добавление 6003 заняло 500 нс, 1 операций
Добавление 9132 заняло 792 нс, 1 операций
Добавление 9609 заняло 1375 нс, 5 операций
Добавление 6545 заняло 1125 нс, 1 операций
Добавление 8972 заняло 583 нс, 18 операций
Добавление 1948 заняло 1250 нс, 1 операций
Добавление 6189 заняло 667 нс, 1 операций
Добавление 3097 заняло 875 нс, 1 операций
Добавление 4854 заняло 1125 нс, 1 операций
Добавление 1800 заняло 875 нс, 1 операций
Добавление 6664 заняло 1167 нс, 19 операций
Добавление 4119 заняло 500 нс, 1 операций
Добавление 9645 заняло 1292 нс, 14 операций
Добавление 1432 заняло 375 нс, 1 операций
Добавление 6855 заняло 375 нс, 1 операций
Добавление 5932 заняло 667 нс, 14 операций
Добавление 9734 заняло 916 нс, 1 операций
Добавление 7927 заняло 1458 нс, 1 операций
Добавление 6542 заняло 708 нс, 1 операций
Добавление 5271 заняло 1042 нс, 23 операций
Добавление 1893 заняло 833 нс, 1 операций
Добавление 1510 заняло 1084 нс, 18 операций
Добавление 9605 заняло 708 нс, 5 операций
Добавление 2408 заняло 1292 нс, 5 операций
Добавление 7224 заняло 583 нс, 1 операций
Добавление 9034 заняло 834 нс, 1 операций
Добавление 6444 заняло 1125 нс, 1 операций
Добавление 3554 заняло 1167 нс, 1 операций
Добавление 9572 заняло 875 нс, 5 операций
Добавление 2705 заняло 542 нс, 5 операций
Добавление 4332 заняло 1000 нс, 1 операций
Добавление 2974 заняло 750 нс, 1 операций
Добавление 7610 заняло 709 нс, 1 операций
Добавление 5474 заняло 1167 нс, 14 операций
Добавление 2572 заняло 1208 нс, 1 операций
Добавление 9596 заняло 458 нс, 1 операций
Добавление 5605 заняло 416 нс, 1 операций
Добавление 690 заняло 1250 нс, 5 операций
Добавление 2636 заняло 625 нс, 1 операций
Добавление 6757 заняло 750 нс, 1 операций
Добавление 754 заняло 1000 нс, 10 операций
Добавление 2515 заняло 958 нс, 14 операций
Добавление 3410 заняло 1125 нс, 1 операций
Добавление 5820 заняло 1125 нс, 10 операций
Добавление 7084 заняло 500 нс, 1 операций
Добавление 7031 заняло 1084 нс, 15 операций
Добавление 1423 заняло 584 нс, 5 операций
Добавление 2866 заняло 750 нс, 5 операций
Добавление 7716 заняло 958 нс, 1 операций
Добавление 7266 заняло 583 нс, 1 операций
Добавление 1468 заняло 458 нс, 1 операций
Добавление 6169 заняло 625 нс, 1 операций
Добавление 7882 заняло 1125 нс, 14 операций
Добавление 6397 заняло 4833 нс, 1 операций
Добавление 5222 заняло 1500 нс, 1 операций
Добавление 4352 заняло 500 нс, 1 операций
Добавление 1018 заняло 1125 нс, 1 операций
Добавление 8599 заняло 1084 нс, 1 операций
Добавление 6212 заняло 1000 нс, 1 операций
Добавление 1581 заняло 1541 нс, 25 операций
Добавление 5093 заняло 1125 нс, 1 операций
Добавление 166 заняло 1209 нс, 5 операций
Добавление 8753 заняло 2750 нс, 1 операций
Добавление 7210 заняло 667 нс, 1 операций
Добавление 5211 заняло 667 нс, 1 операций
Добавление 5691 заняло 1541 нс, 1 операций
Добавление 1802 заняло 833 нс, 5 операций
Добавление 8214 заняло 459 нс, 1 операций
Добавление 8674 заняло 667 нс, 1 операций
Добавление 5732 заняло 1208 нс, 10 операций
Добавление 1461 заняло 459 нс, 1 операций
Добавление 8619 заняло 958 нс, 1 операций
Добавление 8630 заняло 417 нс, 5 операций
Добавление 8939 заняло 834 нс, 1 операций
Добавление 9531 заняло 584 нс, 1 операций
Добавление 1439 заняло 833 нс, 14 операций
Добавление 2717 заняло 666 нс, 5 операций
Добавление 3899 заняло 875 нс, 1 операций
Добавление 1541 заняло 334 нс, 1 операций
Добавление 3684 заняло 1459 нс, 27 операций
Добавление 5254 заняло 958 нс, 5 операций
Добавление 1954 заняло 750 нс, 5 операций
Добавление 7631 заняло 2625 нс, 32 операций
Добавление 1707 заняло 833 нс, 1 операций
Добавление 3021 заняло 1167 нс, 23 операций
Добавление 8786 заняло 834 нс, 5 операций
Добавление 923 заняло 1333 нс, 1 операций
Добавление 9030 заняло 792 нс, 5 операций
Добавление 3789 заняло 875 нс, 5 операций
Добавление 4946 заняло 1500 нс, 1 операций
Добавление 3188 заняло 583 нс, 10 операций
Добавление 570 заняло 1375 нс, 6 операций
Добавление 2723 заняло 1167 нс, 1 операций
Добавление 6194 заняло 500 нс, 1 операций
Добавление 3485 заняло 1250 нс, 1 операций
Добавление 7539 заняло 833 нс, 1 операций
Добавление 1082 заняло 1583 нс, 6 операций
Добавление 3596 заняло 1083 нс, 1 операций
Добавление 8294 заняло 792 нс, 1 операций
Добавление 8449 заняло 917 нс, 1 операций
Добавление 6857 заняло 3250 нс, 1 операций
Добавление 5429 заняло 1541 нс, 19 операций
Добавление 554 заняло 750 нс, 1 операций
Добавление 6017 заняло 917 нс, 1 операций
Добавление 8597 заняло 709 нс, 1 операций
Добавление 4786 заняло 1750 нс, 31 операций
Добавление 6344 заняло 875 нс, 1 операций
Добавление 1174 заняло 1000 нс, 1 операций
Добавление 8772 заняло 2666 нс, 1 операций
Добавление 8504 заняло 2917 нс, 5 операций
Добавление 6220 заняло 2250 нс, 1 операций
Добавление 518 заняло 2375 нс, 14 операций
Добавление 3711 заняло 2209 нс, 1 операций
Добавление 5676 заняло 1625 нс, 1 операций
Добавление 9770 заняло 1542 нс, 1 операций
Добавление 8737 заняло 2333 нс, 10 операций
Добавление 7491 заняло 1458 нс, 1 операций
Добавление 1369 заняло 1875 нс, 5 операций
Добавление 7334 заняло 2083 нс, 1 операций
Добавление 6364 заняло 1708 нс, 10 операций
Добавление 1589 заняло 1750 нс, 1 операций
Добавление 8687 заняло 1750 нс, 10 операций
Добавление 6690 заняло 1583 нс, 5 операций
Добавление 6684 заняло 750 нс, 5 операций
Добавление 1279 заняло 1458 нс, 5 операций
Добавление 4776 заняло 2334 нс, 1 операций
Добавление 837 заняло 1750 нс, 1 операций
Добавление 6894 заняло 1709 нс, 11 операций
Добавление 2252 заняло 2334 нс, 1 операций
Добавление 5111 заняло 1417 нс, 5 операций
Добавление 6645 заняло 1334 нс, 1 операций
Добавление 4548 заняло 1000 нс, 1 операций
Добавление 8923 заняло 1166 нс, 18 операций
Добавление 522 заняло 375 нс, 1 операций
Добавление 3137 заняло 1250 нс, 1 операций
Добавление 7161 заняло 1416 нс, 1 операций
Добавление 7363 заняло 625 нс, 1 операций
Добавление 782 заняло 1458 нс, 1 операций
Добавление 1741 заняло 750 нс, 1 операций
Добавление 325 заняло 1916 нс, 5 операций
Добавление 6180 заняло 917 нс, 1 операций
Добавление 3697 заняло 708 нс, 1 операций
Добавление 74 заняло 1750 нс, 1 операций
Добавление 1388 заняло 2584 нс, 15 операций
Добавление 5157 заняло 1834 нс, 24 операций
Добавление 8306 заняло 1125 нс, 11 операций
Добавление 8977 заняло 1250 нс, 5 операций
Добавление 2224 заняло 875 нс, 1 операций
Добавление 8288 заняло 125 нс, 1 операций
Добавление 7844 заняло 1417 нс, 5 операций
Добавление 9068 заняло 1000 нс, 1 операций
Добавление 1127 заняло 1375 нс, 1 операций
Добавление 6886 заняло 875 нс, 1 операций
Добавление 8610 заняло 959 нс, 5 операций
Добавление 4754 заняло 750 нс, 1 операций
Добавление 9640 заняло 1375 нс, 1 операций
Добавление 3200 заняло 750 нс, 1 операций
Добавление 5533 заняло 667 нс, 1 операций
Добавление 9629 заняло 459 нс, 1 операций
Добавление 3295 заняло 1000 нс, 5 операций
Добавление 531 заняло 666 нс, 5 операций
Добавление 9489 заняло 208 нс, 1 операций
Добавление 7754 заняло 959 нс, 14 операций
Добавление 5648 заняло 1208 нс, 5 операций
Добавление 5679 заняло 667 нс, 24 операций
Добавление 2550 заняло 791 нс, 5 операций
Добавление 6332 заняло 875 нс, 1 операций
Добавление 392 заняло 625 нс, 1 операций
Добавление 4005 заняло 500 нс, 1 операций
Добавление 9761 заняло 834 нс, 1 операций
Добавление 2477 заняло 958 нс, 1 операций
Добавление 974 заняло 1083 нс, 1 операций
Добавление 3666 заняло 1250 нс, 42 операций
Добавление 9098 заняло 375 нс, 1 операций
Добавление 2546 заняло 125 нс, 1 операций
Добавление 601 заняло 667 нс, 1 операций
Добавление 2892 заняло 625 нс, 1 операций
Добавление 6441 заняло 625 нс, 1 операций
Добавление 8569 заняло 791 нс, 1 операций
Добавление 4347 заняло 667 нс, 5 операций
Добавление 2391 заняло 958 нс, 60 операций
Добавление 4042 заняло 125 нс, 1 операций
Добавление 3522 заняло 291 нс, 1 операций
Добавление 6187 заняло 792 нс, 14 операций
Добавление 9077 заняло 375 нс, 1 операций
Добавление 2815 заняло 500 нс, 1 операций
Добавление 7287 заняло 875 нс, 5 операций
Добавление 5329 заняло 750 нс, 10 операций
Добавление 5320 заняло 167 нс, 1 операций
Добавление 3653 заняло 416 нс, 1 операций
Добавление 1529 заняло 792 нс, 1 операций
Добавление 5626 заняло 459 нс, 1 операций
Добавление 2837 заняло 292 нс, 1 операций
Добавление 7310 заняло 584 нс, 1 операций
Добавление 7161 заняло 791 нс, 1 операций
Добавление 4635 заняло 791 нс, 1 операций
Добавление 3655 заняло 333 нс, 18 операций
Добавление 5837 заняло 4250 нс, 1 операций
Добавление 6528 заняло 2125 нс, 1 операций
Добавление 2290 заняло 1583 нс, 1 операций
Добавление 2621 заняло 1375 нс, 1 операций
Добавление 6721 заняло 1834 нс, 5 операций
Добавление 8172 заняло 2209 нс, 15 операций
Добавление 2087 заняло 2125 нс, 24 операций
Добавление 3041 заняло 1792 нс, 15 операций
Добавление 2265 заняло 542 нс, 1 операций
Добавление 7687 заняло 1541 нс, 1 операций
Добавление 9826 заняло 1375 нс, 1 операций
Добавление 7894 заняло 1375 нс, 5 операций
Добавление 4325 заняло 500 нс, 1 операций
Добавление 9333 заняло 1792 нс, 1 операций
Добавление 2071 заняло 1375 нс, 5 операций
Добавление 8141 заняло 2000 нс, 1 операций
Добавление 813 заняло 1334 нс, 5 операций
Добавление 4666 заняло 792 нс, 5 операций
Добавление 1756 заняло 2750 нс, 1 операций
Добавление 7252 заняло 2083 нс, 5 операций
Добавление 9483 заняло 1875 нс, 18 операций
Добавление 3861 заняло 1584 нс, 1 операций
Добавление 7899 заняло 1625 нс, 5 операций
Добавление 9612 заняло 1792 нс, 42 операций
Добавление 9635 заняло 750 нс, 18 операций
Добавление 3309 заняло 1000 нс, 1 операций
Добавление 5458 заняло 1542 нс, 5 операций
Добавление 1861 заняло 1250 нс, 5 операций
Добавление 8035 заняло 1459 нс, 5 операций
Добавление 1527 заняло 1042 нс, 1 операций
Добавление 5160 заняло 1458 нс, 18 операций
Добавление 6728 заняло 917 нс, 1 операций
Добавление 2165 заняло 1375 нс, 1 операций
Добавление 1713 заняло 1375 нс, 5 операций
Добавление 9050 заняло 1167 нс, 1 операций
Добавление 4257 заняло 1666 нс, 33 операций
Добавление 5633 заняло 1000 нс, 1 операций
Добавление 8286 заняло 1250 нс, 1 операций
Добавление 2419 заняло 583 нс, 1 операций
Добавление 8886 заняло 542 нс, 1 операций
Добавление 2591 заняло 875 нс, 1 операций
Добавление 766 заняло 1875 нс, 50 операций
Добавление 6251 заняло 1208 нс, 14 операций
Добавление 7353 заняло 1041 нс, 1 операций
Добавление 1595 заняло 1333 нс, 10 операций
Добавление 7354 заняло 792 нс, 14 операций
Добавление 4742 заняло 1250 нс, 1 операций
Добавление 4502 заняло 917 нс, 1 операций
Добавление 7825 заняло 1041 нс, 1 операций
Добавление 265 заняло 1250 нс, 1 операций
Добавление 5421 заняло 1041 нс, 5 операций
Добавление 2329 заняло 1416 нс, 5 операций
Добавление 3432 заняло 1167 нс, 6 операций
Добавление 8785 заняло 1666 нс, 1 операций
Добавление 6378 заняло 750 нс, 1 операций
Добавление 7327 заняло 1333 нс, 18 операций
Добавление 5515 заняло 1083 нс, 5 операций
Добавление 3325 заняло 875 нс, 1 операций
